UTC500,sentiment,UTC500
0.0938725,0.760862,0.0938725
0.213704,0.813243,0.213704
0.213704,0.813243,0.213704
0.159473,0.959271,0.159473
0.152031,0.962828,0.152031
0.52361,0.945289,0.52361
0.452236,0.639077,0.452236
0.164499,0.915218,0.164499
0.131834,0.853336,0.131834
0.170219,0.716125,0.170219
0.452236,0.639077,0.452236
0.213704,0.813243,0.213704
0.236779,0.827569,0.236779
0.148046,0.709396,0.148046
0.213704,0.813286,0.213704
0.254187,0.90083,0.254187
0.213704,0.813286,0.213704
0.213704,0.813301,0.213704
0.235462,0.65262,0.235462
0.0814857,0.301376,0.0814857
0.213704,0.813243,0.213704
0.316392,0.376885,0.316392
0.237875,0.492615,0.237875
0.277363,0.773769,0.277363
0.138,0.943866,0.138
0.277363,0.352813,0.277363
0.166067,0.672642,0.166067
0.152232,0.789971,0.152232
0.363269,0.908351,0.363269
0.235151,0.195787,0.235151
0.186458,0.313333,0.186458
0.178237,0.794072,0.178237
0.160621,0.924873,0.160621
0.128701,0.68667,0.128701
0.240748,0.916147,0.240748
0.200976,0.813243,0.200976
0.240748,0.91619,0.240748
0.345751,0.454163,0.345751
0.117267,0.451769,0.117267
0.0708523,0.878287,0.0708523
0.136792,0.925896,0.136792
0.152031,0.962866,0.152031
0.137843,0.536044,0.137843
0.128511,0.95362,0.128511
0.152031,0.962829,0.152031
0.159473,0.959271,0.159473
0.159473,0.959337,0.159473
0.126466,0.940757,0.126466
0.182579,0.852583,0.182579
0.137843,0.42917,0.137843
0.147638,0.778929,0.147638
0.202118,0.885106,0.202118
0.1366,0.987552,0.1366
0.235151,0.694482,0.235151
0.213704,0.813323,0.213704
0.240748,0.91619,0.240748
0.200976,0.813243,0.200976
0.152031,0.962828,0.152031
0.137843,0.42917,0.137843
0.131849,0.787692,0.131849
0.137843,0.179402,0.137843
0.137843,0.42917,0.137843
0.137843,0.305387,0.137843
0.143458,0.803121,0.143458
0.277363,0.26572,0.277363
0.52361,0.94526,0.52361
0.52361,0.94526,0.52361
0.43669,0.876918,0.43669
0.0944761,0.748944,0.0944761
0.136792,0.925896,0.136792
0.200976,0.813243,0.200976
0.240748,0.916173,0.240748
0.213704,0.813243,0.213704
0.213704,0.813243,0.213704
0.172012,0.833814,0.172012
0.152467,0.770978,0.152467
0.0938725,0.760895,0.0938725
0.236779,0.503103,0.236779
0.200976,0.813243,0.200976
0.202118,0.885167,0.202118
0.138,0.358534,0.138
0.186458,0.471593,0.186458
0.213704,0.813301,0.213704
0.213704,0.813243,0.213704
0.213704,0.813243,0.213704
0.213704,0.813243,0.213704
0.213704,0.813243,0.213704
0.362214,0.937329,0.362214
0.213704,0.813301,0.213704
0.240748,0.916173,0.240748
0.213704,0.813286,0.213704
0.213704,0.813286,0.213704
0.200976,0.813243,0.200976
0.213704,0.813243,0.213704
0.452236,0.639077,0.452236
0.180857,0.932446,0.180857
0.486475,0.499027,0.486475
0.213704,0.813243,0.213704
0.213704,0.813243,0.213704
0.213704,0.813243,0.213704
0.213704,0.813301,0.213704
0.213704,0.813286,0.213704
0.213704,0.813286,0.213704
0.213704,0.813286,0.213704
0.219625,0.883098,0.219625
0.142255,0.922043,0.142255
0.193795,0.35808,0.193795
0.175772,0.926516,0.175772
0.213704,0.813243,0.213704
0.240748,0.91619,0.240748
0.0814857,0.894972,0.0814857
0.180857,0.780494,0.180857
0.164499,0.915202,0.164499
0.137843,0.780465,0.137843
0.206171,0.9017,0.206171
0.152031,0.962828,0.152031
0.159473,0.959271,0.159473
0.158911,0.911109,0.158911
0.141683,0.879626,0.141683
0.159473,0.959271,0.159473
0.143458,0.803257,0.143458
0.210601,0.92595,0.210601
0.223862,0.899942,0.223862
0.142255,0.922017,0.142255
0.224933,0.755749,0.224933
0.383656,0.651177,0.383656
0.227122,0.778982,0.227122
0.193547,0.856685,0.193547
0.240748,0.91619,0.240748
0.24775,0.933199,0.24775
0.172012,0.28325,0.172012
0.137843,0.409738,0.137843
0.131849,0.523062,0.131849
0.383685,0.983074,0.383685
0.180857,0.488122,0.180857
0.123508,0.935117,0.123508
0.131849,0.787692,0.131849
0.383685,0.453805,0.383685
0.0917897,0.279109,0.0917897
0.265527,0.500816,0.265527
0.206171,0.713707,0.206171
0.170152,0.662744,0.170152
0.30447,0.806796,0.30447
0.189531,0.697637,0.189531
0.304372,0.662688,0.304372
0.128701,0.686784,0.128701
0.192974,0.870266,0.192974
0.213704,0.813243,0.213704
0.213704,0.813243,0.213704
0.357817,0.918275,0.357817
0.200976,0.813286,0.200976
0.213704,0.813243,0.213704
0.143649,0.82057,0.143649
0.170152,0.889683,0.170152
0.273267,0.838367,0.273267
0.228502,0.894103,0.228502
0.113203,0.856622,0.113203
0.205639,0.810169,0.205639
0.428302,0.671835,0.428302
0.52361,0.94526,0.52361
0.52361,0.945289,0.52361
0.115073,0.829424,0.115073
0.250088,0.922275,0.250088
0.287935,0.405989,0.287935
0.202118,0.885151,0.202118
0.130573,0.919779,0.130573
0.157992,0.851589,0.157992
0.27968,0.981418,0.27968
0.136137,0.741392,0.136137
0.452236,0.639076,0.452236
0.213704,0.818567,0.213704
0.196638,0.761986,0.196638
0.202118,0.885151,0.202118
0.0947703,0.890412,0.0947703
0.213704,0.813243,0.213704
0.112569,0.948435,0.112569
0.515061,0.783522,0.515061
0.148229,0.923075,0.148229
0.193547,0.8566,0.193547
0.213704,0.813243,0.213704
0.132024,0.871036,0.132024
0.184814,0.87521,0.184814
0.213704,0.813438,0.213704
0.213704,0.813278,0.213704
0.213704,0.813278,0.213704
0.213704,0.813323,0.213704
0.213704,0.813323,0.213704
0.240748,0.916179,0.240748
0.132724,0.79804,0.132724
0.111532,0.785776,0.111532
0.200976,0.813301,0.200976
0.221754,0.861875,0.221754
0.213704,0.813243,0.213704
0.213704,0.813323,0.213704
0.213704,0.813286,0.213704
0.242801,0.97818,0.242801
0.213704,0.813323,0.213704
0.154869,0.942456,0.154869
0.206171,0.950293,0.206171
0.202811,0.475173,0.202811
0.179583,0.856589,0.179583
0.452236,0.639077,0.452236
0.213704,0.813243,0.213704
0.213704,0.813323,0.213704
0.213704,0.813323,0.213704
0.384587,0.967894,0.384587
0.160704,0.647331,0.160704
0.452236,0.639077,0.452236
0.137843,0.241037,0.137843
0.153918,0.928641,0.153918
0.179583,0.856604,0.179583
0.236779,0.503103,0.236779
0.108419,0.754597,0.108419
0.250088,0.922265,0.250088
0.200976,0.813243,0.200976
0.154869,0.911224,0.154869
0.152467,0.77101,0.152467
0.193731,0.979159,0.193731
0.235462,0.915268,0.235462
0.213704,0.813243,0.213704
0.141041,0.898296,0.141041
0.145039,0.889551,0.145039
0.116137,0.841894,0.116137
0.213704,0.813243,0.213704
0.122493,0.243578,0.122493
0.186458,0.303731,0.186458
0.213704,0.813301,0.213704
0.102844,0.847294,0.102844
0.213704,0.813286,0.213704
0.213704,0.813286,0.213704
0.213704,0.813286,0.213704
1.00E-06,0.934417,1.00E-06
1.00E-06,0.879544,1.00E-06
