tree0_01,tree01_02,tree02_03,tree03_10
0,0.001062699,0,0
0,0.002125399,0,0
0.002518892,0.002656748,0,0
0.002518892,0.004250797,0,0
0.002518892,0.005844846,0,0
0.002518892,0.005844846,0.00210084,0
0.002518892,0.007438895,0.004201681,0
0.002518892,0.009032944,0.004201681,0
0.005037783,0.009032944,0.004201681,0
0.005037783,0.010626993,0.006302521,0
0.005037783,0.012752391,0.006302521,0
0.005037783,0.013283741,0.006302521,0
0.005037783,0.01434644,0.006302521,0
0.007556675,0.01487779,0.008403361,0
0.007556675,0.018065887,0.010504202,0
0.010075567,0.019128587,0.014705882,0
0.010075567,0.020191286,0.018907563,0
0.010075567,0.021785335,0.021008403,0
0.010075567,0.022848034,0.023109244,0.005154639
0.012594458,0.024973433,0.023109244,0.005154639
0.01511335,0.026567481,0.023109244,0.005154639
0.017632242,0.029755579,0.025210084,0.005154639
0.017632242,0.032943677,0.025210084,0.005154639
0.017632242,0.036663124,0.025210084,0.010309278
0.022670025,0.039851222,0.025210084,0.020618557
0.025188917,0.040382572,0.029411765,0.020618557
0.025188917,0.046227418,0.037815126,0.020618557
0.027707809,0.047821467,0.039915966,0.020618557
0.027707809,0.051540914,0.042016807,0.020618557
0.027707809,0.056323061,0.046218487,0.020618557
0.032745592,0.057917109,0.050420168,0.020618557
0.035264484,0.061105207,0.058823529,0.020618557
0.052896725,0.069606801,0.067226891,0.020618557
0.055415617,0.07120085,0.073529412,0.020618557
0.062972292,0.078108395,0.079831933,0.025773196
0.062972292,0.087141339,0.086134454,0.025773196
0.068010076,0.092454835,0.086134454,0.025773196
0.068010076,0.10042508,0.088235294,0.025773196
0.070528967,0.115302869,0.098739496,0.046391753
0.073047859,0.118490967,0.102941176,0.056701031
0.078085642,0.121147715,0.109243697,0.056701031
0.078085642,0.135494155,0.115546218,0.056701031
0.090680101,0.150903294,0.121848739,0.067010309
0.095717884,0.160998937,0.128151261,0.067010309
0.100755668,0.166312434,0.132352941,0.077319588
0.292191436,0.172688629,0.138655462,0.087628866
0.350125945,0.180658874,0.142857143,0.087628866
0.360201511,0.194473964,0.153361345,0.097938144
0.370277078,0.20031881,0.155462185,0.103092784
0.370277078,0.207757705,0.159663866,0.103092784
0.37279597,0.213071201,0.163865546,0.108247423
0.375314861,0.218916047,0.165966387,0.113402062
0.377833753,0.231137088,0.170168067,0.12371134
0.380352645,0.235387885,0.212184874,0.128865979
0.382871537,0.241232731,0.216386555,0.134020619
0.382871537,0.248671626,0.231092437,0.134020619
0.382871537,0.255047821,0.243697479,0.139175258
0.392947103,0.263549416,0.258403361,0.154639175
0.395465995,0.273645058,0.268907563,0.175257732
0.397984887,0.278958555,0.271008403,0.201030928
0.40302267,0.28533475,0.279411765,0.201030928
0.413098237,0.290648247,0.283613445,0.206185567
0.413098237,0.301275239,0.287815126,0.221649485
0.41813602,0.312433581,0.294117647,0.231958763
0.423173804,0.324123273,0.298319328,0.231958763
0.425692695,0.332624867,0.308823529,0.231958763
0.428211587,0.34272051,0.321428571,0.237113402
0.430730479,0.350690755,0.329831933,0.24742268
0.440806045,0.361317747,0.336134454,0.24742268
0.443324937,0.375132837,0.346638655,0.262886598
0.450881612,0.384165781,0.363445378,0.268041237
0.460957179,0.395324123,0.369747899,0.278350515
0.468513854,0.408076514,0.37605042,0.283505155
0.471032746,0.420828905,0.382352941,0.283505155
0.478589421,0.433049947,0.390756303,0.304123711
0.491183879,0.450053135,0.405462185,0.319587629
0.503778338,0.465993624,0.418067227,0.345360825
0.511335013,0.476089267,0.426470588,0.37628866
0.528967254,0.486716259,0.430672269,0.402061856
0.536523929,0.512752391,0.443277311,0.412371134
0.549118388,0.538257173,0.457983193,0.427835052
0.564231738,0.551540914,0.476890756,0.43814433
0.56675063,0.568544102,0.481092437,0.453608247
0.584382872,0.586609989,0.504201681,0.484536082
0.604534005,0.609989373,0.539915966,0.5
0.61209068,0.627523911,0.573529412,0.536082474
0.62720403,0.649309245,0.586134454,0.546391753
0.64231738,0.669500531,0.600840336,0.587628866
0.649874055,0.692879915,0.621848739,0.608247423
0.685138539,0.715727949,0.665966387,0.639175258
0.692695214,0.739107333,0.703781513,0.654639175
0.712846348,0.758767269,0.724789916,0.68556701
0.76070529,0.780552604,0.74789916,0.716494845
0.801007557,0.802337938,0.760504202,0.762886598
0.831234257,0.834750266,0.787815126,0.798969072
0.871536524,0.864505845,0.81512605,0.845360825
0.904282116,0.894261424,0.844537815,0.881443299
0.931989924,0.932518597,0.905462185,0.902061856
0.957178841,0.958554729,0.955882353,0.93814433
1,1,1,1
